itemid,category,datelisted,description,name,merchantid,price
SPNFJ,Housing,2022-01-01,Professional quality at its best  the best materials to update your cooking!,Housing 554151738,EJ8AM,486.78
2DS61,Housing,2022-02-07,100% Synthetic,Housing 57556420,OZBPO,1567.14
3Q8K2,Housing,2022-07-04,,Housing 97693862,BK9EY,205.96
YNQYO,Housing,2022-01-09,For everyday office use,Housing 92010153,BF3QQ,675.38
BG37L,Housing,2022-02-21,"(Display and Graphics) 17.3 diagonal, FHD ",Housing 780126417,449OC,1679.76
NE5IF,Housing,2022-07-22,Professional quality at its best  the best materials to update your cooking!,Housing 976106296,0HC1E,1687.23
5JZ1Z,Housing,2022-02-14,,Housing 730101609,BKW17,1973.35
FXAST,Housing,2022-08-05,,Housing 914141825,EBQH2,460.73
6IF6C,Housing,2022-01-17,,Housing 92552359,DNCLE,386.87
ZO9MC,Housing,2022-03-22,,Housing 55193396,0YU61,37.43
LGJQL,Housing,2022-01-04,,Housing 834122138,O83AN,324.0
Y8W94,Housing,2022-05-10,Professional quality at its best  the best materials to update your cooking!,Housing 93411831,ZST93,1169.72
DI3IQ,Housing,2022-08-29,,Housing 95010309,5NRYI,193.1
TXLA4,Housing,2022-01-17,,Housing 54275435,U5R93,1284.4
JJDHJ,Housing,2022-02-20,Suitable for all skin types,Housing 71093270,K3VTH,1758.98
RVLZQ,Housing,2022-07-05,for everyday use,Housing 921103420,ZB7CT,1595.72
U5V46,Housing,2022-04-30,"(Display and Graphics ) 17.3 diagonal, FHD ",Housing 79477624,D73LI,689.57
HD377,Housing,2022-07-23,Cushioning provides excellent shock absorption,Housing 90826611,Q17SE,1985.72
GIJNW,Housing,2022-07-04,,Housing 525193884,N169E,19.16
J52AU,Housing,2022-06-15,,Housing 925196665,WW2NM,446.79
7CT21,Housing,2022-03-02,Professional quality at its best  the best materials to update your cooking!,Housing 605125018,SEOMV,1172.8
BDMK5,Housing,2022-02-03,make a great gift for kids 3 to 7 years olds,Housing 97740859,08KUN,1664.24
6WPC0,Housing,2022-02-08,For your lovely pet,Housing 807165884,7ERSM,397.31
2XC7O,Housing,2022-04-23,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 714160407,FUR3X,941.99
7L80Q,Housing,2022-07-09,Set of 12,Housing 53225688,WUSF0,678.47
GI3W6,Housing,2022-03-27,,Housing 89786494,LJNGC,318.92
7D3PZ,Housing,2022-01-17,Set of 10,Housing 72567254,BJLLH,242.47
UEWB2,Housing,2022-08-20,,Housing 815108488,CXDQI,135.3
IVKBC,Housing,2022-09-21,(11th Gen Intel Core i5-1135G7,Housing 88390895,Z5WLW,729.97
LI6HU,Housing,2022-09-04,For your lovely pet,Housing 51726757,87CKX,1939.69
OAOYI,Housing,2022-05-04,Cushioning provides excellent shock absorption,Housing 700128056,T21O4,639.63
3C0M7,Housing,2022-04-10,For your lovely pet,Housing 5148935,51WHM,851.68
KDGIQ,Housing,2022-03-02,,Housing 786156530,P8UM4,1342.38
SGPTE,Housing,2022-03-29,,Housing 89863241,CJZRT,896.85
9P1PN,Housing,2022-04-27,,Housing 980108990,Z49UX,1909.29
NZW1Q,Housing,2022-10-22,,Housing 919161423,VWQZC,802.34
NZOSU,Housing,2022-05-09,,Housing 53686534,QMHWG,1405.31
QZND7,Housing,2022-05-29,make a great gift for kids 3 to 7 years olds,Housing 665143076,ZLIUE,15.9
0V8OE,Housing,2022-08-11,Professional quality at its best  the best materials to update your cooking!,Housing 68783213,L18JT,1817.98
NGTTM,Housing,2022-09-21,,Housing 963133977,0WYR7,549.33
42GKH,Housing,2022-10-22,,Housing 566190253,LZAU3,1333.67
FUB36,Housing,2022-03-22,,Housing 5587041,UOQ2K,1073.37
LC7LK,Housing,2022-06-12,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 63976561,0HGJC,1815.39
Q3SR7,Housing,2022-05-31,100% Synthetic,Housing 736128766,FRH4L,946.61
8QWWQ,Housing,2022-08-16,Set of 12,Housing 78135553,YA5CE,1070.95
CO260,Housing,2022-01-01,Set of 10,Housing 61744530,Y10ZO,1908.73
NRKL2,Housing,2022-04-09,,Housing 91420105,FRH4L,1302.51
ULFV3,Housing,2022-10-28,"Unbox the package to find a soft, plush, sparkly doll!",Housing 92260377,NL2WY,474.67
5E4S3,Housing,2022-05-30,Cushioning provides excellent shock absorption,Housing 540160588,87CKX,449.29
XEQNI,Housing,2022-01-25,For your lovely pet,Housing 80843394,1H9CX,834.67
LD09B,Housing,2022-07-06,For your lovely pet,Housing 501192738,GOW8W,301.48
J348U,Housing,2022-02-09,,Housing 671193397,DRBJ8,1805.96
2EF8S,Housing,2022-07-10,For everyday office use,Housing 70345931,3S3MN,1682.21
OSKPM,Housing,2022-08-27,for everyday use,Housing 886141367,549RZ,768.31
Y7WR8,Housing,2022-08-30,For your lovely pet,Housing 531161432,5XI94,1911.54
3J8RD,Housing,2022-02-17,Set of 10,Housing 50278072,R8LB9,805.5
K3CH7,Housing,2022-01-15,Set of 10,Housing 65638757,9R01Y,1352.4
MK4DM,Housing,2022-06-26,,Housing 89335879,YRL14,1877.51
Z4YDL,Housing,2022-07-08,,Housing 965182033,0QEPM,1579.77
IIYX7,Housing,2022-09-29,Suitable for all skin types,Housing 89096520,9X7GU,1444.4
64ORQ,Housing,2022-01-25,100% Cotton,Housing 62277182,V1RZB,1793.1
YV0WJ,Housing,2022-06-17,,Housing 745179010,C0UHU,1738.39
TCM7S,Housing,2022-06-11,,Housing 95785745,A0B31,1005.84
PWHNO,Housing,2022-01-28,,Housing 834186137,K2VIU,20.8
IPKWV,Housing,2022-05-23,For everyday office use,Housing 77969070,7VWUB,847.43
D3L74,Housing,2022-03-22,,Housing 893114567,0OWRH,1466.2
JOO06,Housing,2022-08-23,For your lovely pet,Housing 68277547,0Z2LJ,1726.45
ZAS9T,Housing,2022-02-20,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 97761512,N5X40,33.23
GSYZV,Housing,2022-05-25,For your lovely pet,Housing 716138415,UVBIT,149.12
AX2ST,Housing,2022-09-15,,Housing 87931548,NJYKN,814.16
XQ007,Housing,2022-08-02,Suitable for all skin types,Housing 669188065,JQY1C,215.39
ELKUK,Housing,2022-05-18,for everyday use,Housing 94033488,3O35F,141.3
O3FA4,Housing,2022-04-07,,Housing 925173491,TH5WQ,898.0
WENO4,Housing,2022-09-05,Professional quality at its best  the best materials to update your cooking!,Housing 50360099,BHDQW,1483.88
JBCZI,Housing,2022-03-21,For your lovely pet,Housing 769100249,IH8AP,449.89
DU4D5,Housing,2022-04-24,Machine Wash,Housing 821177317,05M7F,126.46
2MAMO,Housing,2022-02-12,Set of 12,Housing 646106688,N169E,1420.95
DCZWA,Housing,2022-08-24,Set of 12,Housing 607124271,FWVAJ,1943.32
IYBNO,Housing,2022-05-19,for everyday use,Housing 63136646,6P3VN,1516.39
66K5E,Housing,2022-10-21,,Housing 539182368,3FKG7,321.93
HWFRW,Housing,2022-09-29,For your lovely pet,Housing 81526635,VPIG7,652.28
RU8L8,Housing,2022-06-14,,Housing 94141051,SB3L6,1887.4
XHTJY,Housing,2022-10-19,Professional quality at its best  the best materials to update your cooking!,Housing 73518257,05M7F,638.21
TY17E,Housing,2022-07-24,,Housing 65972148,V5MBV,1179.44
YSPI9,Housing,2022-10-17,,Housing 661165145,OFOQB,1937.14
FA2SR,Housing,2022-05-18,,Housing 795138232,O83AN,607.7
0UGGP,Housing,2022-10-21,,Housing 693153240,19J34,394.42
QO90N,Housing,2022-08-11,"Unbox the package to find a soft, plush, sparkly doll!",Housing 62764745,Y2ZFL,883.58
MTR3Q,Housing,2022-06-09,,Housing 56626544,7WHJR,800.49
C7BL9,Housing,2022-05-25,,Housing 873160972,426K8,194.83
Q1220,Housing,2022-05-29,For your lovely pet,Housing 74658545,CCMQG,144.73
5J1AW,Housing,2022-02-24,Imported,Housing 673137690,8LJTP,481.2
KY6SR,Housing,2022-07-05,Set of 10,Housing 84724551,69SJG,844.26
QNYMF,Housing,2022-06-22,,Housing 563171115,X342E,333.4
ILWIQ,Housing,2022-01-03,for everyday use,Housing 76241146,R8LB9,1326.12
RAJQE,Housing,2022-08-11,make a great gift for kids 3 to 7 years olds,Housing 7906484,Y1GW1,7.3
E5WMF,Housing,2022-03-16,,Housing 51357675,P8UOK,1289.3
0BI2Z,Housing,2022-05-30,Set of 12,Housing 739110454,VKCWC,1890.44
9OXDJ,Housing,2022-05-16,Cushioning provides excellent shock absorption,Housing 82998076,VZNU6,843.56
BK7L2,Housing,2022-06-01,Set of 10,Housing 59814858,TGD2Z,1365.56
EHME0,Housing,2022-08-16,for everyday use,Housing 790123352,GV6M6,1447.39
ASSPL,Housing,2022-01-20,For everyday office use,Housing 96763515,BHDQW,423.96
LY99M,Housing,2022-01-13,cotton feels great for comfort that lasts.,Housing 54538399,GPJ8L,1301.89
SRE2K,Housing,2022-01-23,,Housing 991184056,LZAU3,1696.77
RBZSX,Housing,2022-08-26,,Housing 86830809,0ZJZT,377.68
PMG2K,Housing,2022-10-01,Set of 10,Housing 72325643,TH583,680.24
FUBCU,Housing,2022-10-19,,Housing 619135524,MJUC1,1496.1
ZK93L,Housing,2022-06-09,,Housing 668142827,08WHX,357.35
HJ2KC,Housing,2022-01-21,,Housing 99614859,3DEPB,311.79
L5WIC,Housing,2022-08-01,Suitable for all skin types,Housing 649153874,85TQL,988.85
4SJQM,Housing,2022-08-14,Machine Wash,Housing 78352526,BSJMW,1515.59
FSCOL,Housing,2022-09-12,"Display and Graphics17.3 diagonal, FHD ",Housing 66465198,D7CK2,1038.82
89FNW,Housing,2022-03-28,For your lovely pet,Housing 71573909,O8YYV,990.59
6Z0GW,Housing,2022-06-03,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 507892,7W8YE,959.33
OLZ4H,Housing,2022-03-27,One of a kind stainless steel,Housing 779140520,DZC76,1607.41
ZAP4N,Housing,2022-08-24,For everyday office use,Housing 856149146,3M1YI,98.17
H89DV,Housing,2022-05-04,,Housing 873189247,DPGAP,1183.25
F19QM,Housing,2022-05-07,for everyday use,Housing 698155059,HQSNA,1653.34
6FJY0,Housing,2022-03-23,,Housing 98898241,LC3OK,867.94
I7SX0,Housing,2022-05-15,,Housing 869197705,0OWRH,34.12
OL11S,Housing,2022-01-18,For your lovely pet,Housing 705134231,VZNU6,1599.58
U9PQK,Housing,2022-08-03,Suitable for all skin types,Housing 540167843,6K1RV,406.58
FI4JE,Housing,2022-07-12,,Housing 960133138,6IPKS,1654.37
ME6NS,Housing,2022-06-10,make a great gift for kids 3 to 7 years olds,Housing 993114574,19J34,424.1
6WVRX,Housing,2022-04-19,Set of 10,Housing 64830447,CHM29,1586.31
3BLQ4,Housing,2022-06-16,For your lovely pet,Housing 644114416,6KVU0,564.4
X77OD,Housing,2022-02-17,,Housing 54698709,85TQL,157.14
V7KJA,Housing,2022-02-15,,Housing 687116253,CA969,1614.89
CEYPE,Housing,2022-01-26,,Housing 660196856,CXDQI,1990.1
U0JUO,Housing,2022-07-16,Set of 12,Housing 99270300,9CK79,1010.78
651I2,Housing,2022-05-23,,Housing 67158958,Z49UX,1921.7
I7YGL,Housing,2022-02-20,,Housing 76556051,05M7F,1690.84
JD0UD,Housing,2022-10-25,"Unbox the package to find a soft, plush, sparkly doll!",Housing 56976274,1VPD1,245.41
VD22L,Housing,2022-08-18,,Housing 739110222,SB3L6,1043.12
MJMZ8,Housing,2022-01-11,For your lovely pet,Housing 76659442,87U6Q,1680.76
97MPY,Housing,2022-01-05,,Housing 97759928,E189I,1185.17
YN00B,Housing,2022-08-04,,Housing 74762875,GOW8W,1675.53
J4PNO,Housing,2022-03-05,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 526132955,FFZPQ,968.95
GOBQL,Housing,2022-07-06,,Housing 74597428,86J10,651.89
2JBJM,Housing,2022-02-23,cotton feels great for comfort that lasts.,Housing 959176312,RYVDX,606.56
93VVK,Housing,2022-03-16,100% Cotton,Housing 85777630,VRWGT,551.98
4MFHY,Housing,2022-04-07,,Housing 74971391,3AFOH,1624.1
1JLLF,Housing,2022-08-11,,Housing 71923752,0WYR7,1319.72
TBOK3,Housing,2022-09-11,,Housing 609185144,G9Q2G,351.18
2CYH2,Housing,2022-05-14,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 514108144,QN99Y,1380.73
YH03S,Housing,2022-07-27,cotton feels great for comfort that lasts.,Housing 854107295,U29GK,256.55
431X6,Housing,2022-10-22,100% Synthetic,Housing 836151512,ZLIUE,1788.54
TULAA,Housing,2022-03-08,For your lovely pet,Housing 889130441,PV7VX,328.21
RIWN8,Housing,2022-07-14,,Housing 661196909,6F0TV,1250.37
U4CV5,Housing,2022-10-16,,Housing 68572112,O9NN6,209.95
YU4EP,Housing,2022-08-27,,Housing 81021453,92I2Y,603.42
97CFO,Housing,2022-01-16,,Housing 773112444,Y4HF3,1432.49
DKSK7,Housing,2022-04-24,,Housing 56254631,DZC76,1255.91
B2KQZ,Housing,2022-10-13,make a great gift for kids 3 to 7 years olds,Housing 914125811,BW3MU,611.69
FX8M6,Housing,2022-04-15,,Housing 97588730,1XG6O,941.36
J6GY1,Housing,2022-06-02,100% Cotton,Housing 98556990,S3AB0,688.27
IBMNJ,Housing,2022-06-27,Set of 12,Housing 613122985,29003,494.88
1R09K,Housing,2022-07-12,100% Cotton,Housing 692138020,TJX73,1394.21
W6GWC,Housing,2022-09-30,make a great gift for kids 3 to 7 years olds,Housing 976120947,IXU4J,1676.7
D0VN1,Housing,2022-10-23,For your lovely pet,Housing 96959045,EJ2DW,222.66
VPVQT,Housing,2022-10-24,"(Display and Graphics) 17.3 diagonal, FHD ",Housing 754103552,K5CLT,1877.69
3L5OC,Housing,2022-08-08,make a great gift for kids 3 to 7 years olds,Housing 838106273,K3VTH,1533.3
WSMPK,Housing,2022-04-05,Set of 10,Housing 98832924,FWVAJ,1143.98
FSIIK,Housing,2022-01-01,,Housing 826136143,5H4D3,1107.98
CWY3U,Housing,2022-01-25,Set of 10,Housing 92699992,LHRYU,438.19
IQ1AH,Housing,2022-08-23,,Housing 686127969,A34BI,1287.31
7Q3SH,Housing,2022-07-28,For your lovely pet,Housing 5144871,3LLAJ,1958.98
UDGB5,Housing,2022-05-13,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 90277094,7WHJR,1712.58
UP4DV,Housing,2022-10-02,100% Cotton,Housing 89024337,P35EW,1600.3
6S3Q1,Housing,2022-10-23,For everyday office use,Housing 831156563,G06XS,1576.94
HB6HJ,Housing,2022-01-07,make a great gift for kids 3 to 7 years olds,Housing 97945892,X9W2Z,1672.42
WFCZ6,Housing,2022-04-05,,Housing 99857072,152MD,1758.74
IEO1T,Housing,2022-04-02,,Housing 9661269,D7CK2,332.1
G7824,Housing,2022-06-03,,Housing 96920006,3XOCG,951.4
RUZTL,Housing,2022-05-19,,Housing 85081379,VWQZC,734.91
FU4CK,Housing,2022-06-01,,Housing 682104699,CHM29,764.2
4A8G0,Housing,2022-07-03,cotton feels great for comfort that lasts.,Housing 944130909,231ZN,333.32
X44ON,Housing,2022-02-22,,Housing 80244885,LV4UC,1351.1
13535,Housing,2022-07-29,(11th Gen Intel Core i5-1135G7),Housing 946191573,4L0BA,1151.15
PTUTJ,Housing,2022-01-17,"Unbox the package to find a soft, plush, sparkly doll!",Housing 59710748,Y4RHZ,1340.49
DBLCG,Housing,2022-01-10,,Housing 63382030,GQM6L,1491.36
XC4M7,Housing,2022-10-24,,Housing 8127329,TH583,50.1
AB5BZ,Housing,2022-04-17,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 579182300,1HBQW,857.62
3LXFM,Housing,2022-09-18,,Housing 73166105,8K3RE,1327.92
LKJAO,Housing,2022-04-29,Professional quality at its best  the best materials to update your cooking!,Housing 664108645,OPGY0,1216.63
UWQLE,Housing,2022-02-18,for everyday use,Housing 8367377,V1RZB,1679.28
LRAQC,Housing,2022-09-03,for everyday use,Housing 65877404,HGTUB,270.63
WOSYA,Housing,2022-03-10,Imported,Housing 692172302,KV5S9,1690.5
3LHR7,Housing,2022-07-18,For your lovely pet,Housing 641149983,X342E,810.9
4U4EE,Housing,2022-10-03,(11th Gen Intel Core i5-1135G7),Housing 593126643,IJ61L,731.31
Y8AMU,Housing,2022-09-12,make a great gift for kids 3 to 7 years olds,Housing 698144470,LC3OK,904.92
G1DVG,Housing,2022-07-21,,Housing 991182700,M2HT6,269.27
B1Q3X,Housing,2022-01-18,,Housing 98681448,JEEP3,1848.72
504DR,Housing,2022-09-08,,Housing 675155152,P0JA5,1079.26
VWT7P,Housing,2022-08-22,One of a kind stainless steel,Housing 665156976,C8HL5,1741.0
VWEE8,Housing,2022-08-23,make a great gift for kids 3 to 7 years olds,Housing 816189541,R2YNB,1884.87
V349Q,Housing,2022-08-07,For everyday office use,Housing 72551529,JCCF8,1493.31
G06BL,Housing,2022-05-17,,Housing 99074743,6P3VN,1174.17
Z8T4K,Housing,2022-08-28,,Housing 573159124,HC0DY,1830.44
2C8XO,Housing,2022-06-06,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 73417617,P283H,1676.89
CU9YS,Housing,2022-01-11,cotton feels great for comfort that lasts.,Housing 56287259,G06XS,959.5
ADZWR,Housing,2022-07-03,,Housing 720103730,TH5WQ,867.88
K22M7,Housing,2022-03-01,,Housing 59921477,T40C2,30.62
YPZDA,Housing,2022-05-27,,Housing 67871960,87U6Q,575.66
C8I6R,Housing,2022-09-22,,Housing 580100016,FCQGQ,1225.95
DYSX3,Housing,2022-01-10,(11th Gen Intel Core i5-1135G7),Housing 809106616,GV6M6,1456.21
B53W6,Housing,2022-09-01,,Housing 648102797,0HC1E,392.88
OIZSU,Housing,2022-01-06,,Housing 69541774,7.70E+30,1512.7
IRZF9,Housing,2022-08-15,,Housing 519148267,BQ74R,85.87
UNBIO,Housing,2022-02-27,for everyday use,Housing 57349394,231ZN,586.7
9PDP3,Housing,2022-02-27,Set of 12,Housing 938172784,DNCLE,1580.89
ZAK8D,Housing,2022-09-19,,Housing 541195575,XMWLA,1749.6
C66JA,Housing,2022-01-29,,Housing 859144158,A8U7K,841.57
ENKHD,Housing,2022-06-08,,Housing 63849939,AWXDQ,365.88
3Y5VR,Housing,2022-06-19,,Housing 538175727,I8U4Z,1742.5
XY7CQ,Housing,2022-03-29,,Housing 952139764,05M7F,346.65
QDWW5,Housing,2022-08-26,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 776119505,DDZV9,797.96
1RRVY,Housing,2022-04-03,,Housing 99152885,CGC2X,1382.25
TZFJZ,Housing,2022-05-05,,Housing 680119368,F5WTM,1688.91
FQXDS,Housing,2022-06-02,,Housing 66989098,7VWUB,517.48
VHKRC,Housing,2022-05-28,For everyday office use,Housing 54382798,JWXSS,408.6
POEEF,Housing,2022-06-09,,Housing 81829742,YAK94,434.9
ANM9V,Housing,2022-05-26,Cushioning provides excellent shock absorption,Housing 68438496,HFAMO,1742.58
9FRB4,Housing,2022-10-02,100% Cotton,Housing 55472020,H2NH0,1036.62
LFO2S,Housing,2022-03-07,For everyday office use,Housing 688185409,8VI0V,1065.45
5V44Z,Housing,2022-04-12,,Housing 55367614,8K3RE,1453.95
L7HTW,Housing,2022-09-27,Set of 10,Housing 918150274,6EBHW,1592.12
RVMDH,Housing,2022-06-01,,Housing 951172700,231ZN,1486.6
9A0R2,Housing,2022-09-04,for everyday use,Housing 84013,VJV2D,1809.18
NWHC3,Housing,2022-09-28,,Housing 76529230,A5WQ0,1035.7
SAZF9,Housing,2022-08-27,,Housing 73957224,WW2NM,1.41
9RUBB,Housing,2022-03-30,,Housing 534110401,E9K7C,258.15
X9N5O,Housing,2022-08-07,,Housing 904112334,3KFLS,1698.75
XW66M,Housing,2022-07-20,,Housing 918192847,C9PS9,1403.79
DOF8S,Housing,2022-04-13,,Housing 895187892,ME7DC,1805.12
CVGSZ,Housing,2022-05-31,For your lovely pet,Housing 5059956,DAWJW,628.3
JEQAF,Housing,2022-02-03,,Housing 611163231,SB3L6,988.16
UKKEE,Housing,2022-04-28,,Housing 846122360,7QINW,200.35
MZW4R,Housing,2022-04-14,,Housing 549143337,5NRYI,1112.22
O5RYB,Housing,2022-05-20,For your lovely pet,Housing 856156497,ZB7CT,214.8
N1VZM,Housing,2022-10-05,,Housing 78331642,87BU7,294.56
GVJ87,Housing,2022-08-11,"Daily use helps to clean the skin, effectively eliminating acne and blackhead",Housing 67589615,EJ2DW,622.22
SRGUV,Housing,2022-03-29,,Housing 82275800,1XG6O,955.14
PYTP4,Housing,2022-05-23,,Housing 935102380,RM38H,79.95
COP9U,Housing,2022-07-06,,Housing 88337398,05M7F,226.83
9K9K6,Housing,2022-05-20,Suitable for all skin types,Housing 766150738,07RB8,304.19
CGBJ6,Housing,2022-03-30,,Housing 678166333,84ZNK,197.1
B6GBP,Housing,2022-10-03,,Housing 838139571,C9PS9,1518.34
SADER,Housing,2022-05-20,,Housing 59454809,CA969,1119.81
KX5RX,Housing,2022-06-23,100% Synthetic,Housing 792132907,L8LC6,1792.24
IOTNG,Housing,2022-06-30,Set of 10,Housing 560151767,DI0C5,168.69
J77EO,Housing,2022-05-22,,Housing 727144633,TIQ1A,1322.21
0EHKS,Housing,2022-04-01,,Housing 972100255,QR19G,1163.34
AMOP2,Housing,2022-07-27,,Housing 7994580,VRWGT,1787.9
TG498,Housing,2022-08-23,"Unbox the package to find a soft, plush, sparkly doll!",Housing 769145760,QX1AY,703.66
OC8YT,Housing,2022-04-01,For your lovely pet,Housing 856174817,QN99Y,690.84
J4AC4,Housing,2022-04-15,,Housing 590198254,0QEPM,1379.76
ASSXS,Housing,2022-08-15,Suitable for all skin types,Housing 72846803,4I4WY,914.3
OATI0,Housing,2022-09-06,,Housing 960188703,HVJUT,1177.94
E9NCC,Housing,2022-02-05,Professional quality at its best  the best materials to update your cooking!,Housing 98497512,NQP88,1058.47
QKITD,Housing,2022-01-10,,Housing 933196945,85TQL,698.32
4OCSD,Housing,2022-02-25,"Unbox the package to find a soft, plush, sparkly doll!",Housing 517198702,L8LC6,1292.17
1MZFK,Housing,2022-09-14,,Housing 792173923,W7QGR,1881.19
B3FIK,Housing,2022-06-23,Set of 10,Housing 935132323,K5CLT,1249.84
X2J7P,Housing,2022-04-07,Reams of high-bandwidth DDR4 RAM,Housing 90594938,GQM6L,1644.22
THJKW,Housing,2022-07-06,One of a kind stainless steel,Housing 993181192,QX1AY,1933.83
D4WYQ,Housing,2022-10-29,,Housing 65059500,8EBHM,925.9
DA9UD,Housing,2022-07-04,,Housing 576334,IP7TK,1441.62
8G9H1,Housing,2022-04-21,,Housing 861122555,G06XS,873.37
ZV37K,Housing,2022-09-11,,Housing 823185673,SZXQH,794.5
0D73Z,Housing,2022-03-02,For your lovely pet,Housing 586152145,2LVZE,1691.59
MV1QU,Housing,2022-03-14,,Housing 994186447,K3MXR,464.12
N7GBZ,Housing,2022-03-01,for everyday use,Housing 52263850,IJI6N,965.76
6NTO5,Housing,2022-07-11,for everyday use,Housing 738111549,Y4RHZ,386.44
K1DF7,Housing,2022-08-21,For your lovely pet,Housing 76392780,Q6RDS,1801.2
X6WBZ,Housing,2022-08-23,,Housing 586131995,4MSI6,99.13
1V596,Housing,2022-08-04,Set of 10,Housing 81222529,7T5MJ,925.73
FK5IY,Housing,2022-03-18,"Display and Graphics17.3 diagonal, FHD ",Housing 5193961,SHGFE,1946.84
UDN3P,Housing,2022-01-17,,Housing 65290838,E189I,1990.37
HQANN,Housing,2022-06-22,,Housing 73372196,K2VIU,1994.59
A4FY9,Housing,2022-02-12,,Housing 8214647,O8YYV,1159.12
UG3TH,Housing,2022-04-22,Imported,Housing 83993031,ISPDE,1746.53
JIZKG,Housing,2022-05-12,For your lovely pet,Housing 71472360,TGD2Z,1714.7
AAW8F,Housing,2022-09-24,11th Gen Intel Core i5-1135G7,Housing 78686794,OFOQB,1842.66
K85RF,Housing,2022-10-01,,Housing 73575536,CXDQI,1418.3
